start_date,strt_statn,gender,start_station_name,start_stn_municipality
10/20/2012 18:03,72,,One Broadway / Kendall Sq at Main St / 3rd St,Cambridge
10/20/2012 18:03,54,,Tremont St / West St,Boston
10/20/2012 18:02,67,Male,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 18:02,74,Female,Harvard Square at Mass Ave/ Dunster,Cambridge
10/20/2012 18:02,9,,Agganis Arena - 925 Comm Ave.,Boston
10/20/2012 18:03,98,,Charlestown - Warren St at Chelsea St,Boston
10/20/2012 18:03,75,,Lafayette Square at Mass Ave / Main St / Columbia St,Cambridge
10/20/2012 18:03,17,Male,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,Boston
10/20/2012 18:03,40,,Lewis Wharf - Atlantic Ave.,Boston
10/20/2012 18:04,75,,Lafayette Square at Mass Ave / Main St / Columbia St,Cambridge
10/20/2012 18:03,17,Female,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,Boston
10/20/2012 18:03,40,Female,Lewis Wharf - Atlantic Ave.,Boston
10/20/2012 18:04,70,Male,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 18:05,36,Female,Boston Public Library - 700 Boylston St.,Boston
10/20/2012 18:05,53,Male,Beacon St / Mass Ave,Boston
10/20/2012 18:05,36,Male,Boston Public Library - 700 Boylston St.,Boston
10/20/2012 18:07,103,,Boylston at Fairfield,Boston
10/20/2012 18:06,10,Male,B.U. Central - 725 Comm. Ave.,Boston
10/20/2012 18:06,45,,Yawkey Way at Boylston St.,Boston
10/20/2012 18:06,79,Female,Beacon St at Washington / Kirkland,Somerville
10/20/2012 18:06,50,Male,Boylston St / Berkeley St,Boston
10/20/2012 18:07,74,,Harvard Square at Mass Ave/ Dunster,Cambridge
10/20/2012 18:07,45,,Yawkey Way at Boylston St.,Boston
10/20/2012 18:07,103,,Boylston at Fairfield,Boston
10/20/2012 18:07,70,,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 18:07,50,,Boylston St / Berkeley St,Boston
10/20/2012 18:07,103,,Boylston at Fairfield,Boston
10/20/2012 18:07,53,Male,Beacon St / Mass Ave,Boston
10/20/2012 18:08,36,,Boston Public Library - 700 Boylston St.,Boston
10/20/2012 18:08,36,,Boston Public Library - 700 Boylston St.,Boston
10/20/2012 18:10,47,,Cross St. at Hanover St.,Boston
10/20/2012 18:08,74,Male,Harvard Square at Mass Ave/ Dunster,Cambridge
10/20/2012 18:09,24,,Seaport Square - Seaport Blvd. at Boston Wharf,Boston
10/20/2012 18:08,53,Female,Beacon St / Mass Ave,Boston
10/20/2012 18:10,47,,Cross St. at Hanover St.,Boston
10/20/2012 18:09,24,,Seaport Square - Seaport Blvd. at Boston Wharf,Boston
10/20/2012 18:09,74,,Harvard Square at Mass Ave/ Dunster,Cambridge
10/20/2012 18:09,22,Male,South Station - 700 Atlantic Ave.,Boston
10/20/2012 18:09,50,Male,Boylston St / Berkeley St,Boston
10/20/2012 18:12,68,,Central Square at Mass Ave / Essex St,Cambridge
10/20/2012 18:10,36,,Boston Public Library - 700 Boylston St.,Boston
10/20/2012 18:10,53,,Beacon St / Mass Ave,Boston
10/20/2012 18:11,53,,Beacon St / Mass Ave,Boston
10/20/2012 18:10,53,Male,Beacon St / Mass Ave,Boston
10/20/2012 18:11,68,,Central Square at Mass Ave / Essex St,Cambridge
10/20/2012 18:11,99,Male,Mayor Thomas M. Menino - Government Center,Boston
10/20/2012 18:13,103,,Boylston at Fairfield,Boston
10/20/2012 18:12,99,,Mayor Thomas M. Menino - Government Center,Boston
10/20/2012 18:11,27,Male,Roxbury Crossing Station,Boston
10/20/2012 18:12,103,,Boylston at Fairfield,Boston
10/20/2012 18:12,22,Female,South Station - 700 Atlantic Ave.,Boston
10/20/2012 18:13,26,,Washington St. at Waltham St.,Boston
10/20/2012 18:12,6,Male,Cambridge St. at Joy St.,Boston
10/20/2012 18:13,52,,Newbury St / Hereford St,Boston
10/20/2012 18:12,67,Male,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 18:12,64,Male,Congress / Sleeper,Boston
10/20/2012 18:12,94,Male,Charlestown - Main St at Austin St,Boston
10/20/2012 18:13,16,,Back Bay / South End Station,Boston
10/20/2012 18:13,16,,Back Bay / South End Station,Boston
10/20/2012 18:14,84,,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,Cambridge
10/20/2012 18:16,68,,Central Square at Mass Ave / Essex St,Cambridge
10/20/2012 18:15,84,Male,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,Cambridge
10/20/2012 18:16,68,,Central Square at Mass Ave / Essex St,Cambridge
10/20/2012 18:15,67,Male,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 18:16,68,,Central Square at Mass Ave / Essex St,Cambridge
10/20/2012 18:18,18,,Harvard Real Estate - 219 Western Ave. at North Harvard St.,Boston
10/20/2012 18:17,39,,Washington St. at Rutland St.,Boston
10/20/2012 18:17,39,,Washington St. at Rutland St.,Boston
10/20/2012 18:18,17,,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,Boston
10/20/2012 18:18,18,,Harvard Real Estate - 219 Western Ave. at North Harvard St.,Boston
10/20/2012 18:18,33,,Kenmore Sq / Comm Ave,Boston
10/20/2012 18:20,77,,Somerville City Hall,Somerville
10/20/2012 18:18,53,,Beacon St / Mass Ave,Boston
10/20/2012 18:18,42,Male,Boylston St. at Arlington St.,Boston
10/20/2012 18:18,112,Male,Franklin St. / Arch St.,Boston
10/20/2012 18:18,53,,Beacon St / Mass Ave,Boston
10/20/2012 18:18,75,Male,Lafayette Square at Mass Ave / Main St / Columbia St,Cambridge
10/20/2012 18:18,18,,Harvard Real Estate - 219 Western Ave. at North Harvard St.,Boston
10/20/2012 18:21,6,,Cambridge St. at Joy St.,Boston
10/20/2012 18:20,9,,Agganis Arena - 925 Comm Ave.,Boston
10/20/2012 18:21,17,,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,Boston
10/20/2012 18:20,55,Male,Boylston / Mass Ave,Boston
10/20/2012 18:20,6,,Cambridge St. at Joy St.,Boston
10/20/2012 18:20,78,Male,Union Square - Somerville,Somerville
10/20/2012 18:20,50,Female,Boylston St / Berkeley St,Boston
10/20/2012 18:20,21,Male,Prudential Center / Belvidere,Boston
10/20/2012 18:21,62,Male,Longwood Ave/Riverway,Boston
10/20/2012 18:21,50,Male,Boylston St / Berkeley St,Boston
10/20/2012 18:21,8,Male,Union Square - Brighton Ave. at Cambridge St.,Boston
10/20/2012 18:21,9,Male,Agganis Arena - 925 Comm Ave.,Boston
10/20/2012 18:23,21,,Prudential Center / Belvidere,Boston
10/20/2012 18:22,76,Male,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,Cambridge
10/20/2012 18:23,21,,Prudential Center / Belvidere,Boston
10/20/2012 18:24,70,Male,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 18:24,45,Male,Yawkey Way at Boylston St.,Boston
10/20/2012 18:24,70,Female,Harvard Kennedy School at Bennett St / Eliot St,Cambridge
10/20/2012 18:24,67,Male,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 18:25,103,,Boylston at Fairfield,Boston
10/20/2012 18:24,46,Male,Christian Science Plaza,Boston
10/20/2012 18:27,19,,Buswell Park,Boston
10/20/2012 18:25,29,Male,Innovation Lab - 125 Western Ave. at Batten Way,Boston
10/20/2012 18:25,26,,Washington St. at Waltham St.,Boston
10/20/2012 18:25,67,Male,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 18:26,74,,Harvard Square at Mass Ave/ Dunster,Cambridge
10/20/2012 18:26,55,,Boylston / Mass Ave,Boston
10/20/2012 18:27,77,,Somerville City Hall,Somerville
10/20/2012 18:26,74,,Harvard Square at Mass Ave/ Dunster,Cambridge
10/20/2012 18:26,9,Male,Agganis Arena - 925 Comm Ave.,Boston
10/20/2012 18:26,53,Male,Beacon St / Mass Ave,Boston
10/20/2012 18:26,74,,Harvard Square at Mass Ave/ Dunster,Cambridge
10/20/2012 18:28,20,,Aquarium Station - 200 Atlantic Ave.,Boston
10/20/2012 18:26,67,Male,MIT at Mass Ave / Amherst St,Cambridge
10/20/2012 18:27,53,,Beacon St / Mass Ave,Boston
10/20/2012 18:27,19,,Buswell Park,Boston
10/20/2012 18:28,20,,Aquarium Station - 200 Atlantic Ave.,Boston
10/20/2012 18:27,53,,Beacon St / Mass Ave,Boston
10/20/2012 18:28,139,,Davis Square,Somerville
10/20/2012 18:28,99,,Mayor Thomas M. Menino - Government Center,Boston
