start_date,end_statn,gender,start_station_name,end_station_name,start_stn_municipality,end_stn_municipality
July-13,16,Male,MIT Stata Center at Vassar St / Main St,Back Bay / South End Station,Cambridge,Boston
July-13,139,,Beacon St at Washington / Kirkland,Davis Square,Somerville,Somerville
July-13,52,Male,Christian Science Plaza,Newbury St / Hereford St,Boston,Boston
July-13,88,Male,Charlestown - Warren St at Chelsea St,Inman Square at Vellucci Plaza / Hampshire St,Boston,Cambridge
July-13,137,Male,Lechmere Station at Cambridge St / First St,Porter Square Station,Cambridge,Cambridge
July-13,112,Male,Cross St. at Hanover St.,Franklin St. / Arch St.,Boston,Boston
July-13,40,Male,Post Office Square,Lewis Wharf - Atlantic Ave.,Boston,Boston
July-13,137,Male,Conway Park - Somerville Avenue,Porter Square Station,Somerville,Cambridge
July-13,39,Male,Congress / Sleeper,Washington St. at Rutland St.,Boston,Boston
July-13,40,Male,Seaport Hotel,Lewis Wharf - Atlantic Ave.,Boston,Boston
July-13,50,Male,Kenmore Sq / Comm Ave,Boylston St / Berkeley St,Boston,Boston
July-13,57,Male,Cambridge St - at Columbia St / Webster Ave,Columbus Ave. at Mass. Ave.,Cambridge,Boston
July-13,9,Female,Kenmore Sq / Comm Ave,Agganis Arena - 925 Comm Ave.,Boston,Boston
July-13,75,Male,Agganis Arena - 925 Comm Ave.,Lafayette Square at Mass Ave / Main St / Columbia St,Boston,Cambridge
July-13,126,Female,Brigham Cir / Huntington Ave,Washington Square at Washington St. / Beacon St.,Boston,Brookline
July-13,22,Female,MIT at Mass Ave / Amherst St,South Station - 700 Atlantic Ave.,Cambridge,Boston
July-13,91,Female,Inman Square at Vellucci Plaza / Hampshire St,One Kendall Square at Hampshire St / Portland St,Cambridge,Cambridge
July-13,137,Male,Wilson Square,Porter Square Station,Somerville,Cambridge
July-13,96,Male,Coolidge Corner - Beacon St @ Centre St,Cambridge Main Library at Broadway / Trowbridge St,Brookline,Cambridge
July-13,110,Male,Harvard Square at Brattle St / Eliot St,New Balance - Guest St. at Life St.,Cambridge,Boston
July-13,114,Male,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,TD Garden - Causeway at Portal Park #1,Cambridge,Boston
July-13,74,Male,Kendall T at Main St,Harvard Square at Mass Ave/ Dunster,Cambridge,Cambridge
July-13,33,Male,Boston Public Library - 700 Boylston St.,Kenmore Sq / Comm Ave,Boston,Boston
July-13,8,Male,MIT at Mass Ave / Amherst St,Union Square - Brighton Ave. at Cambridge St.,Cambridge,Boston
July-13,18,Male,Innovation Lab - 125 Western Ave. at Batten Way,Harvard Real Estate - 219 Western Ave. at North Harvard St.,Boston,Boston
July-13,31,Male,Rowes Wharf - Atlantic Ave,Seaport Hotel,Boston,Boston
July-13,31,Female,Rowes Wharf - Atlantic Ave,Seaport Hotel,Boston,Boston
July-13,88,Male,Mayor Thomas M. Menino - Government Center,Inman Square at Vellucci Plaza / Hampshire St,Boston,Cambridge
July-13,6,Male,The Esplanade - Beacon St. at Arlington St.,Cambridge St. at Joy St.,Boston,Boston
July-13,31,,Rowes Wharf - Atlantic Ave,Seaport Hotel,Boston,Boston
July-13,22,Male,Lechmere Station at Cambridge St / First St,South Station - 700 Atlantic Ave.,Cambridge,Boston
July-13,129,Male,Harvard University Gund Hall at Quincy St / Kirkland S,Harvard University River Houses / Plympton St at Memorial Drive,Cambridge,Cambridge
July-13,57,,Boston Public Library - 700 Boylston St.,Columbus Ave. at Mass. Ave.,Boston,Boston
July-13,91,,Cambridge St. at Joy St.,One Kendall Square at Hampshire St / Portland St,Boston,Cambridge
July-13,114,Male,Congress / Sleeper,TD Garden - Causeway at Portal Park #1,Boston,Boston
July-13,26,Male,Agganis Arena - 925 Comm Ave.,Washington St. at Waltham St.,Boston,Boston
July-13,91,,Cambridge St. at Joy St.,One Kendall Square at Hampshire St / Portland St,Boston,Cambridge
July-13,131,Male,Agganis Arena - 925 Comm Ave.,Lower Cambridgeport at Magazine St/Riverside Rd,Boston,Cambridge
July-13,114,Male,Seaport Square - Seaport Blvd. at Boston Wharf,TD Garden - Causeway at Portal Park #1,Boston,Boston
July-13,137,Female,One Kendall Square at Hampshire St / Portland St,Porter Square Station,Cambridge,Cambridge
